Keller LEX1 pressure data
Date	Time	Pressure (mBar)
03/04/2014	11:24:53	NaN
03/04/2014	11:24:56	1023.4945
03/04/2014	11:24:57	1023.5057
03/04/2014	11:24:58	1023.3395
03/04/2014	11:24:59	1023.3551
03/04/2014	11:25:00	1023.1204
03/04/2014	11:25:01	1023.2100
03/04/2014	11:25:02	1023.1042
03/04/2014	11:25:03	1023.1318
03/04/2014	11:25:04	1023.0981
03/04/2014	11:25:05	1022.9120
03/04/2014	11:25:06	1023.1896
03/04/2014	11:25:07	1023.0081
03/04/2014	11:25:08	1023.1617
03/04/2014	11:25:09	1022.9975
03/04/2014	11:25:10	1022.9398
03/04/2014	11:25:11	1022.9780
03/04/2014	11:25:12	1022.9399
03/04/2014	11:25:13	1022.8292
03/04/2014	11:25:14	1022.8187
03/04/2014	11:25:15	1022.8167
03/04/2014	11:25:16	1022.8179
03/04/2014	11:25:17	1022.7751
03/04/2014	11:25:18	1022.7664
03/04/2014	11:25:19	1022.7950
03/04/2014	11:25:20	1022.6819
03/04/2014	11:25:21	1022.6493
03/04/2014	11:25:22	1022.4796
03/04/2014	11:25:23	1022.5182
03/04/2014	11:25:24	1022.7349
03/04/2014	11:25:25	1023.0777
03/04/2014	11:25:26	1023.3338
03/04/2014	11:25:27	1023.5898
03/04/2014	11:25:28	1023.6112
03/04/2014	11:25:29	1023.8246
03/04/2014	11:25:30	1024.0808
03/04/2014	11:25:31	1024.6143
03/04/2014	11:25:32	1024.5502
03/04/2014	11:25:33	1025.0887
03/04/2014	11:25:34	1025.0887
03/04/2014	11:25:35	1025.6650
03/04/2014	11:25:36	1025.6011
03/04/2014	11:25:37	1025.5156
03/04/2014	11:25:38	1025.7026
03/04/2014	11:25:39	1025.7539
03/04/2014	11:25:40	1025.8947
03/04/2014	11:25:41	1026.7268
03/04/2014	11:25:42	1026.7910
03/04/2014	11:25:43	1026.8816
03/04/2014	11:25:44	1027.0735
03/04/2014	11:25:45	1027.3297
03/04/2014	11:25:46	1027.7780
03/04/2014	11:25:47	1027.7351
03/04/2014	11:25:48	1028.1620
03/04/2014	11:25:49	1028.2261
03/04/2014	11:25:50	1028.7383
03/04/2014	11:25:51	1028.6742
03/04/2014	11:25:52	1028.8662
03/04/2014	11:25:53	1028.8236
03/04/2014	11:25:54	1029.5704
03/04/2014	11:25:55	1029.4424
03/04/2014	11:25:56	1029.5278
03/04/2014	11:25:57	1029.7626
03/04/2014	11:25:58	1030.1467
03/04/2014	11:26:00	1030.3387
03/04/2014	11:26:01	1030.2322
03/04/2014	11:26:02	1030.5309
03/04/2014	11:26:03	1030.8740
03/04/2014	11:26:04	1031.1942
03/04/2014	11:26:05	1030.8954
03/04/2014	11:26:06	1031.4503
03/04/2014	11:26:07	1031.6423
03/04/2014	11:26:08	1032.1545
03/04/2014	11:26:09	1031.9625
03/04/2014	11:26:10	1032.1119
03/04/2014	11:26:11	1032.2399
03/04/2014	11:26:12	1032.2932
03/04/2014	11:26:13	1032.7948
03/04/2014	11:26:14	1032.5173
03/04/2014	11:26:15	1032.8589
03/04/2014	11:26:16	1033.3070
03/04/2014	11:26:17	1033.3711
03/04/2014	11:26:18	1033.2750
03/04/2014	11:26:19	1033.8192
03/04/2014	11:26:20	1033.8192
03/04/2014	11:26:21	1034.0114
03/04/2014	11:26:22	1034.2035
03/04/2014	11:26:23	1034.3955
03/04/2014	11:26:24	1034.4595
03/04/2014	11:26:25	1034.6516
03/04/2014	11:26:26	1034.7583
03/04/2014	11:26:27	1035.0359
03/04/2014	11:26:28	1035.4199
03/04/2014	11:26:29	1035.4840
03/04/2014	11:26:30	1035.4840
03/04/2014	11:26:31	1036.0602
03/04/2014	11:26:32	1035.9962
03/04/2014	11:26:33	1036.1029
03/04/2014	11:26:34	1036.1776
03/04/2014	11:26:35	1036.3802
03/04/2014	11:26:36	1036.3590
03/04/2014	11:26:37	1036.7645
03/04/2014	11:26:38	1036.7645
03/04/2014	11:26:39	1037.2767
03/04/2014	11:26:40	1037.2767
03/04/2014	11:26:41	1037.4048
03/04/2014	11:26:42	1037.7250
03/04/2014	11:26:43	1037.5763
03/04/2014	11:26:44	1038.0717
03/04/2014	11:26:45	1038.0076
03/04/2014	11:26:46	1038.2638
03/04/2014	11:26:47	1038.6479
03/04/2014	11:26:48	1038.6427
03/04/2014	11:26:49	1038.8773
03/04/2014	11:26:50	1038.7068
03/04/2014	11:26:51	1039.2616
03/04/2014	11:26:52	1039.4537
03/04/2014	11:26:53	NaN
03/04/2014	11:26:54	1039.6724
03/04/2014	11:26:55	1039.8645
03/04/2014	11:26:56	1039.9501
03/04/2014	11:26:57	1040.1846
03/04/2014	11:26:58	1040.4408
03/04/2014	11:26:59	1040.3768
03/04/2014	11:27:00	1040.4087
03/04/2014	11:27:01	1040.6542
03/04/2014	11:27:02	1041.1451
03/04/2014	11:27:03	1041.0812
03/04/2014	11:27:04	1041.0811
03/04/2014	11:27:05	1041.6573
03/04/2014	11:27:06	1041.5293
03/04/2014	11:27:07	1041.5828
03/04/2014	11:27:08	1041.8068
03/04/2014	11:27:09	1042.0201
03/04/2014	11:27:10	1042.0629
03/04/2014	11:27:11	1042.1270
03/04/2014	11:27:12	1042.4684
03/04/2014	11:27:13	1042.4321
03/04/2014	11:27:14	1042.4044
03/04/2014	11:27:15	1041.9775
03/04/2014	11:27:16	1042.2913
03/04/2014	11:27:17	1042.3508
03/04/2014	11:27:18	1042.0692
03/04/2014	11:27:19	1042.0050
03/04/2014	11:27:20	1042.1652
03/04/2014	11:27:21	1041.8771
03/04/2014	11:27:22	1042.0691
03/04/2014	11:27:23	1041.8833
03/04/2014	11:27:24	1041.4928
03/04/2014	11:27:25	1041.6848
03/04/2014	11:27:26	1041.3008
03/04/2014	11:27:27	1041.5570
03/04/2014	11:27:28	1041.6849
03/04/2014	11:27:30	1041.1726
03/04/2014	11:27:31	1041.1514
03/04/2014	11:27:32	1041.3221
03/04/2014	11:27:33	1041.0597
03/04/2014	11:27:34	1041.1110
03/04/2014	11:27:35	1041.0562
03/04/2014	11:27:36	1040.9966
03/04/2014	11:27:37	1040.8615
03/04/2014	11:27:38	1040.8413
03/04/2014	11:27:39	1041.0713
03/04/2014	11:27:40	1040.3669
03/04/2014	11:27:41	1040.4949
03/04/2014	11:27:42	1040.7894
03/04/2014	11:27:43	1040.6930
03/04/2014	11:27:44	1040.5784
03/04/2014	11:27:45	1040.5533
03/04/2014	11:27:46	1040.2335
03/04/2014	11:27:47	1040.2550
03/04/2014	11:27:48	1040.1139
03/04/2014	11:27:49	1040.1055
03/04/2014	11:27:50	1040.1525
03/04/2014	11:27:51	1039.8921
03/04/2014	11:27:52	1040.0457
03/04/2014	11:27:53	1040.0284
03/04/2014	11:27:54	1039.8333
03/04/2014	11:27:55	1039.9720
03/04/2014	11:27:56	1039.7308
03/04/2014	11:27:57	1039.7705
03/04/2014	11:27:58	1039.6863
03/04/2014	11:27:59	1039.7008
03/04/2014	11:28:00	1039.6271
03/04/2014	11:28:01	1039.5293
03/04/2014	11:28:02	1039.4749
03/04/2014	11:28:03	1039.2926
03/04/2014	11:28:04	1039.2894
03/04/2014	11:28:05	1039.4163
03/04/2014	11:28:06	1039.3292
03/04/2014	11:28:07	NaN
03/04/2014	11:28:08	1038.9213
03/04/2014	11:28:09	1039.0280
03/04/2014	11:28:10	1038.7291
03/04/2014	11:28:11	1038.9083
03/04/2014	11:28:12	1038.8801
03/04/2014	11:28:13	1038.8682
03/04/2014	11:28:14	1038.8337
03/04/2014	11:28:15	1038.8079
03/04/2014	11:28:16	1038.5797
